,Accuracy,ROC,Precision,Recall,F1 Score,Feature Count
All features,0.9649122807017544,0.9672619047619048,0.9857142857142858,0.9583333333333334,0.971830985915493,30
Strong corr,0.9824561403508771,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,25
Subset corr,0.9649122807017544,0.9623015873015873,0.9722222222222222,0.9722222222222222,0.9722222222222222,15
F-test,0.9824561403508771,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,20
RFE,0.9824561403508771,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,20
Feat importance,0.9649122807017544,0.9623015873015873,0.9722222222222222,0.9722222222222222,0.9722222222222222,15
L1 Reg,0.9736842105263158,0.9742063492063492,0.9859154929577465,0.9722222222222222,0.9790209790209791,18
